1
 11.83 %  2014                      5.00          108.08          10.7212
 11.83 %  2014                      5.00          108.06          10.7238
 11.83 %  2014                      5.00          108.05          10.7251
 11.83 %  2014                      0.50          108.15          10.7122
 11.83 %  2014                      0.03          108.25          10.6994
 11.83 %  2014                      5.00          108.06          10.7238
 11.83 %  2014                      5.00          108.08          10.7212
 11.83 %  2014                      5.00          108.04          10.7264
 11.83 %  2014                      5.00          108.065         10.7232
 11.83 %  2014                      5.00          108.05          10.7251
 11.83 %  2014                      5.00          108.10          10.71875
Date :  24 February 2000
  # YTM(indicative) will depend upon assumed rate of inflation
  * Relate to the first leg of Repos
---------------------------------------------------------------------------
     Total                        110.00
        06/07/2000                 55.00       96.8418      8.75       4
        11/05/2000                 55.00       98.1774      8.75       4
      (DD/MM/YYYY)
   (i) 182 Day Bills (Maturity-wise)
B. Treasury Bills
     Total                        188.60
 11.99 %  2009                     50.00      109.00        8.90       1
