 
 
29 Nov 2000 
 
Subsidiary General Ledger Account Transactions in  
Government Dated Securities and Treasury Bills 
at RBI, Mumbai on 29 November 2000 
 
--------------------------------------------------------------------------- 
   Nomenclature                  Amount           Price *        YTM % 
                                 (Face Value)     Per Rs.100   Indicative 
                                 (in Rs.Crore)    nominal 
--------------------------------------------------------------------------- 
 
I.  Outright Transactions 
A.Government of India Dated Securities 
 11.03 %  2012                      0.136          97.35          11.4428 
 11.03 %  2012                      5.00           96.62          11.5607 
 11.03 %  2012                      5.06           96.625         11.5599 
 11.03 %  2012                      5.00           96.65          11.5558 
 11.03 %  2012                     10.00           96.61          11.5623 
 11.50 %  2015                      5.00           99.25          11.6072 
 12.60 %  2018                      2.80          106.90          11.6734 
 12.60 %  2018                      0.42          106.90          11.6734 
     Total                        798.009 
 
B. State Government Securities 
          Contract Date : November 28, 2000 
  13.85% UTTAR PRADESH SDL 2006     0.138         107.25         11.9994 
          Contract Date : November 29, 2000 
  11.70% TAMILNADU SDL 2010         0.04          100.82         11.5495 
  11.80% A.P.SDL 2010               4.925         101.44         11.5416 
  12.00% GUJARAT SDL 2010           0.26          102.27         11.6002 
  12.00% PUNJAB SDL 2010            0.60          102.27         11.6002 
  12.00% ANDHRA PRADESH SDL 2010    1.91          102.27         11.6002 
  12.00% RAJASTHAN SDL 2010         5.00          102.33         11.5900 
     Total                         12.873 
 
C. Treasury Bills 
   (i) 14 Day Bills (Maturity-wise) 
       (DD/MM/YYYY) 
          Contract Date : November 28, 2000 
        04/12/2000                  0.15           99.8919         6.5652 
          Contract Date : November 29, 2000 
        04/12/2000                  0.10           99.8926         7.8271 
     Total                          0.25 
   (ii) 91 Day Bills (Maturity-wise) 
       (DD/MM/YYYY) 
          Contract Date : November 28, 2000 
        11/12/2000                  8.5725         99.6886         8.7464 
        15/01/2001                  5.00           98.7664         9.4716 
          Contract Date : November 29, 2000 
        11/12/2000                  2.50           99.7295         8.2274 
        11/12/2000                  3.00           99.7295         8.2274 
        15/01/2001                 25.00           98.8091         9.3343 
        29/01/2001                  5.00           98.4614         9.3246 
        05/02/2001                  3.00           98.3066         9.2208 
        05/02/2001                  1.50           98.3095         9.2048 
     Total                         53.5725 
