13 May 2000 
 
Subsidiary General Ledger Account Transactions in Government Dated 
Securities and Treasury Bills at RBI, Mumbai on 12 May 2000 
 
 
Nomenclature  Amount Price * YTM % 
  (Face Value) Per Rs.100 Indicative 
  (in Rs.Crore) nominal  
     
I. Outright Transactions 
A. Government of India Dated Securities 
Contract Date : May 08, 2000 
12.50% 2004 5 108.91 9.6724 
12.50% 2004 5 108.96 9.6575 
12.50% 2004 5 108.92 9.6694 
12.50% 2004 5 108.92 9.6694 
12.50% 2004 10 108.92 9.6694 
12.50% 2004 5 108.85 9.6904 
12.50% 2004 10 108.92 9.6694 
11.50% 2004 5 105.92 9.6763 
11.75% 2004 5 106.61 9.7499 
11.98% 2004 5 107.95 9.6764 
11.98% 2004 5 107.95 9.6764 
11.98% 2004 5 107.9 9.6902 
11.98% 2004 5 107.95 9.6764 
11.98% 2004 5 107.95 9.6764 
9.90% 2005 5 100.32 9.8137 
9.90% 2005 5 100.32 9.8137 
9.90% 2005 10 100.31 9.8163 
9.90% 2005 5 100.35 9.806 
9.90% 2005 5 100.32 9.8137 
9.90% 2005 5 100.31 9.8163 
9.90% 2005 5 100.32 9.8137 
9.90% 2005 5 100.31 9.8163 
9.90% 2005 10 100.32 9.8137 
9.90% 2005 5 100.31 9.8163 
9.90% 2005 5 100.31 9.8163 
9.90% 2005 5 100.325 9.8124 
9.90% 2005 5 100.33 9.8111 
9.90% 2005 10 100.31 9.8163 
9.90% 2005 5 100.32 9.8137 
9.90% 2005 5 100.35 9.806 
9.90% 2005 5 100.34 9.8086 
9.90% 2005 5 100.33 9.8111 
9.90% 2005 10 100.33 9.8111 
9.90% 2005 5 100.33 9.8111 9.90% 2005 5 100.33 9.8111 
9.90% 2005 5 100.35 9.806 
9.90% 2005 15 100.35 9.806 
9.90% 2005 20 100.33 9.8111 
9.90% 2005 5 100.33 9.8111 
9.90% 2005 10 100.33 9.8111 
     
9.90% 2005 5 100.33 9.8111 
9.90% 2005 10 100.31 9.8163 
9.90% 2005 10 100.33 9.8111 
9.90% 2005 5 100.31 9.8163 
9.90% 2005 10 100.33 9.8111 
9.90% 2005 10 100.33 9.8111 
9.90% 2005 10 100.32 9.8137 
11.19% 2005 5 105.43 9.8329 
11.19% 2005 5 105.41 9.8377 
11.68% 2006 5 107.58 9.9484 
11.75% 2006 5 107.83 9.9651 
11.75% 2006 5 107.82 9.9672 
11.90% 2007 5 108.68 10.1435 
12.00% 2008 5 109.11 10.2958 
12.00% 2008 15 109.09 10.2993 
12.00% 2008 5 109.1 10.2975 
12.00% 2008 15 109.1 10.2975 
12.00% 2008 5 109.12 10.294 
12.00% 2008 5 109.1 10.2975 
12.00% 2008 5 109.14 10.2905 
12.00% 2008 5 109.1 10.2975 
12.00% 2008 5 109.09 10.2993 
12.00% 2008 5 109.09 10.2993 
12.25% 2008 25 110.4 10.3492 
12.25% 2008 5 110.4 10.3492 
12.25% 2008 5 110.395 10.3501 
12.25% 2008 5 110.395 10.3501 
12.25% 2008 25 110.4 10.3492 
12.25% 2008 25 110.4 10.3492 
11.99% 2009 10 109.06 10.4009 
11.99% 2009 5 109.2 10.3778 
11.99% 2009 5 109.09 10.3959 
11.99% 2009 10 109.045 10.4033 
11.99% 2009 5 109.15 10.386 
11.99% 2009 5 109.05 10.4025 
11.99% 2009 5 109.08 10.3976 
11.99% 2009 5 109.11 10.3926 
11.99% 2009 5 109.12 10.391 
11.99% 2009 5 109.1 10.3943 
11.99% 2009 5 109.12 10.391 
11.99% 2009 5 109.05 10.4025 
11.99% 2009 5 109.25 10.3696 
11.99% 2009 5 109.25 10.3696 
11.99% 2009 5 109.2 10.3778 
11.99% 2009 5 108.99 10.4124 12.29% 2010 10 110.85 10.4768 
12.29% 2010 5 110.9 10.4691 
12.29% 2010 1 110.9 10.4691 
12.25% 2010 1 110.8 10.4894 
12.25% 2010 5 110.65 10.5121 
12.25% 2010 5 110.6 10.5197 
12.25% 2010 5 110.67 10.5091 
12.25% 2010 5 110.65 10.5121 
12.25% 2010 10 110.7 10.5045 
12.25% 2010 25 110.6 10.5197 
12.25% 2010 15 110.7 10.5045 
12.25% 2010 10 110.62 10.5166 
12.25% 2010 20 110.6 10.5197 
12.25% 2010 10 110.65 10.5121 
12.25% 2010 20 110.6 10.5197 
12.32% 2011 5 110.8 10.6032 
     
12.32% 2011 5 110.83 10.5988 
12.32% 2011 5 110.8 10.6032 
12.32% 2011 5 110.8 10.6032 
12.32% 2011 5 110.8 10.6032 
12.32% 2011 5 110.83 10.5988 
12.40% 2013 5 111.5 10.748 
10.00% 2014 1.5 95.7 10.5934 
11.83% 2014 5 107.8 10.7559 
11.83% 2014 1.825 107.89 10.7442 
11.83% 2014 10 107.8 10.7559 
11.50% 2015 10 104.82 10.842 
10.70% 2020 1 99.85 10.7167 
10.70% 2020 0.5 99.72 10.7326 
Total 2919.435    
B. State Government Securities 
Contract Date : May 11, 2000 0.205 109.9 10.5129 
12.25% MAHARASHTRA SDL 0.295 109.9 10.5129 
2009 
12.25% MAHARASHTRA SDL 0.01 100 10.5182 
2009 
10.52% MAHARASHTRA SDL 0.51   
2010 
Total     
C. Treasury Bills 
(i) 14 Day Bills (Maturity-wise) 
(DD/MM/YYYY) 
Contract Date : May 12, 2000 
5/22/2000  37.44 99.799 7.3311 
5/22/2000  0.02 99.799 7.3311 
5/22/2000  5 99.799 7.3311 
5/22/2000  3.65 99.799 7.3311 
5/22/2000  9.8 99.8086 6.9803 
5/22/2000  10 99.8086 6.9803 
Total  65.91   (ii) 91 Day Bills (Maturity-wise) 
(DD/MM/YYYY) 
Contract Date : May 10, 2000 
6/17/2000  6 99.2298 7.848 
8/1/2000  5 98.2064 8.2073 
8/1/2000  5 98.1914 8.2772 
Contract Date : May 12, 2000 
8/7/2000  7 98.0371 8.377 
Total  23   
(iii) 182 Day Bills (Maturity-wise) 
(DD/MM/YYYY) 
Contract Date : May 12, 2000 
9/14/2000  10 97.2037 8.3771 
10/12/2000  4 96.462 8.7259 
Total  14   
(iv) 364 Day Bills (Maturity-wise) 
(DD/MM/YYYY) 
Contract Date : May 10, 2000    
5/3/2001  5 91.8315 9.095 
5/3/2001  10 91.8315 9.095 
Contract Date : May 11, 2000    
4/19/2001  2 92.0664 9.1448 
5/3/2001  10 91.8726 9.0452 
5/3/2001  15 91.8233 9.1049 
5/3/2001  15 91.8233 9.1049 
Contract Date : May 12, 2000    
9/21/2000  10 97.0518 8.3769 
11/16/2000  7 95.6168 8.8757 
4/19/2001  3 92.1036 9.1249 
5/3/2001  21.135 91.8233 9.1049 
     
5/3/2001  10 91.8233 9.1049 
5/3/2001  10 91.8274 9.1 
5/3/2001  5 91.8315 9.095 
5/3/2001  10 91.8315 9.095 
5/3/2001  5 91.8233 9.1049 
Total  138.135   
REPO Transactions * 
(Other than with RBI) 
  
Nomenclature  Amount Price * Repo Rate Repo 
  (Face Value) Per Rs.100 (%pa) Period 
  (in Rs.Crore) Nominal  (Days) 
-1  -2 -3 -4 -5 
      
      
      
A. Government of India Dated Securities 
11.10 % 2003  50 104 9 ** 
11.19 % 2005  25 105.5 7.15 3 
11.19 % 2005  15 105.5 7.15 3 
Total  90    
B. Treasury Bills  Nil    
      
* Relate to the first leg of Repos 
# YTM(indicative) will depend upon assumed rate of inflation 
Date :12-May-00 
 
