in Government Dated Securities and Treasury Bills
 00014  11.30 %  2010               5.00          113.29           9.0969
 00014  11.30 %  2010               5.00          113.30           9.0954
 00014  11.30 %  2010               5.00          113.33           9.0908
 98015  12.25 %  2010              10.00          115.85           9.5581
 98015  12.25 %  2010              10.00          115.85           9.5581
 98015  12.25 %  2010               5.00          115.85           9.5581
 99004  12.29 %  2010               5.00          115.84           9.5194
 99004  12.29 %  2010               5.00          115.83           9.5210
 99006  11.99 %  2009               5.00          115.99           9.0432
 99006  11.99 %  2009               5.00          115.96           9.0482
 99006  11.99 %  2009               5.00          115.99           9.0432
 99006  11.99 %  2009               5.00          116.02           9.0382
 99006  11.99 %  2009               5.00          115.98           9.0448
 99006  11.99 %  2009               5.00          115.96           9.0482
 00016  11.40 %  2008              35.00          115.33           8.4653
 00016  11.40 %  2008               5.00          115.37           8.4583
 00016  11.40 %  2008              60.00          115.33           8.4653
 00016  11.40 %  2008               5.00          115.36           8.4601
 00016  11.40 %  2008               5.00          115.38           8.4566
 00016  11.40 %  2008               5.00          115.39           8.4549
 00016  11.40 %  2008               5.00          115.39           8.4549
 00016  11.40 %  2008              10.00          115.335          8.4644
 00016  11.40 %  2008              35.00          115.335          8.4644
 00016  11.40 %  2008               5.00          115.375          8.4575
 00016  11.40 %  2008               5.00          115.375          8.4575
 00016  11.40 %  2008              60.00          115.335          8.4644
 00016  11.40 %  2008               5.00          115.40           8.4531
 00016  11.40 %  2008               5.00          115.35           8.4618
 00016  11.40 %  2008               5.00          115.37           8.4583
 00016  11.40 %  2008               5.00          115.40           8.4531
 00016  11.40 %  2008              10.00          115.39           8.4549
 00016  11.40 %  2008              10.00          115.40           8.4531
 00016  11.40 %  2008               5.00          115.36           8.4601
 00016  11.40 %  2008               5.00          115.40           8.4531
 00016  11.40 %  2008               5.00          115.40           8.4531
 00016  11.40 %  2008               5.00          115.40           8.4531
 00016  11.40 %  2008               5.00          115.40           8.4531
 00016  11.40 %  2008              10.00          115.33           8.4653
 00016  11.40 %  2008              25.00          115.35           8.4618
 00016  11.40 %  2008               5.00          115.40           8.4531
 00016  11.40 %  2008              10.00          115.33           8.4653
 00016  11.40 %  2008               5.00          115.35           8.4618
 00016  11.40 %  2008               5.00          115.42           8.4496
 00016  11.40 %  2008               5.00          115.40           8.4531
 00016  11.40 %  2008               5.00          115.40           8.4531
 00016  11.40 %  2008               5.00          115.37           8.4583
 98009  11.90 %  2007               5.00          117.08           8.1355
 98009  11.90 %  2007              10.00          117.06           8.1395
 98009  11.90 %  2007              10.00          117.04           8.14357
 00012  11.03 %  2012               5.00          110.70           9.4373
 00012  11.03 %  2012               5.00          110.715          9.4352
 00012  11.03 %  2012               5.00          110.70           9.4373
 00012  11.03 %  2012               5.00          110.70           9.4373
 00012  11.03 %  2012               5.00          110.76           9.4290
 00012  11.03 %  2012               5.00          110.76           9.4290
 00012  11.03 %  2012               5.00          110.76           9.4290
 00012  11.03 %  2012               5.00          110.70           9.4373
 00012  11.03 %  2012               5.00          110.74           9.4318
 00012  11.03 %  2012               5.00          110.68           9.4401
 00012  11.03 %  2012               5.00          110.71           9.4359
 00012  11.03 %  2012               5.00          110.73           9.4332
 00012  11.03 %  2012               5.00          110.70           9.4373
 00012  11.03 %  2012              10.00          110.69           9.4387
 00012  11.03 %  2012               5.00          110.67           9.4415
 84005  10.25 %  2012               0.46          101.75           9.9770
 84005  10.25 %  2012               0.24          102.60           9.8490
 00017  11.50 %  2011              10.00          114.67           9.2526
 00017  11.50 %  2011              15.00          114.67           9.2526
 00017  11.50 %  2011               5.00          114.65           9.2554
 00017  11.50 %  2011               5.00          114.65           9.2554
 00017  11.50 %  2011               5.00          114.73           9.2443
 00017  11.50 %  2011               5.00          114.70           9.2485
 00017  11.50 %  2011               5.00          114.65           9.2554
 00017  11.50 %  2011               5.00          114.68           9.2512
 00017  11.50 %  2011               5.00          114.68           9.2512
 00017  11.50 %  2011               5.00          114.65           9.2554
 00017  11.50 %  2011               5.00          114.67           9.2526
 00017  11.50 %  2011               5.00          114.69           9.2498
 00017  11.50 %  2011               5.00          114.74           9.2429
 00017  11.50 %  2011               5.00          114.675          9.2519
 00017  11.50 %  2011              10.00          114.69           9.2498
 00017  11.50 %  2011               5.00          114.73           9.2443
 00017  11.50 %  2011               5.00          114.74           9.2429
 00017  11.50 %  2011               5.00          114.70           9.2485
 00017  11.50 %  2011               5.00          114.65           9.2554
 00017  11.50 %  2011               5.00          114.65           9.2554
 00017  11.50 %  2011               5.00          114.67           9.2526
 00017  11.50 %  2011               5.00          114.74           9.2429
 00017  11.50 %  2011              10.00          114.675          9.2519
 00017  11.50 %  2011              15.00          114.675          9.2519
 00017  11.50 %  2011               5.00          114.68           9.2512
 00017  11.50 %  2011               5.00          114.74           9.2429
 00017  11.50 %  2011               5.00          114.74           9.2429
 00017  11.50 %  2011               5.00          114.71           9.2471
 00017  11.50 %  2011               5.00          114.65           9.2554
 00017  11.50 %  2011               5.00          114.65           9.2554
 01007   9.39 %  2011              10.00          100.98           9.2337
 01007   9.39 %  2011               5.00          101.00           9.2306
 99005  12.32 %  2011              25.00          116.14           9.6752
 99005  12.32 %  2011               5.00          116.15           9.6738
 99005  12.32 %  2011              25.00          116.14           9.6752
 99005  12.32 %  2011               5.00          116.13           9.6767
 99005  12.32 %  2011               5.00          116.13           9.6767
 99005  12.32 %  2011               5.00          116.10           9.68128
 00018  11.60 %  2020              10.00          113.05          10.0540
 00008  10.70 %  2020               0.015         106.05           9.9760
 01008  10.03 %  2019               5.00          101.04           9.9046
 01008  10.03 %  2019               5.00          101.04           9.9046
 01008  10.03 %  2019              10.00          101.05           9.9034
 01008  10.03 %  2019              10.00          101.05           9.9034
 00015  11.43 %  2015              10.00          111.80           9.8565
 00015  11.43 %  2015              10.00          111.80           9.8565
 00015  11.43 %  2015              10.00          111.80           9.8565
 00015  11.43 %  2015               5.00          111.82           9.8541
 00015  11.43 %  2015               5.00          111.80           9.8565
 00015  11.43 %  2015               5.00          111.81           9.8553
 00009  10.79 %  2015               0.04          106.50           9.9102
 01001  10.47 %  2015               5.00          105.27           9.7590
 01001  10.47 %  2015               5.00          105.27           9.7590
 01001  10.47 %  2015               5.00          105.27           9.7590
 99020  11.83 %  2014               5.00          111.80          10.1826
 01005   9.81 %  2013              10.00          102.32           9.4752
