 
23 Jan 2001 
 
Subsidiary General Ledger Account Transactions in  
Government Dated Securities and Treasury Bills 
at RBI, Mumbai on 22 January 2001 
 
--------------------------------------------------------------------------- 
   Nomenclature                  Amount           Price *        YTM % 
                                 (Face Value)     Per Rs.100   Indicative 
                                 (in Rs.Crore)    nominal 
--------------------------------------------------------------------------- 
I.  Outright Transactions 
A.Government of India Dated Securities 
 11.03 %  2012                      7.50          102.78          10.6056 
 11.03 %  2012                      0.50          102.62          10.6296 
 11.03 %  2012                      1.00          100.00          11.0297 
 12.40 %  2013                      5.00          110.86          10.7984 
 12.40 %  2013                      5.00          110.86          10.7984 
 12.40 %  2013                      5.00          110.88          10.7957 
 12.40 %  2013                      5.00          110.86          10.7984 
 12.40 %  2013                      5.00          110.85          10.7998 
 12.40 %  2013                      0.35          110.25          10.8820 
 11.50 %  2015                      1.00          103.80          10.9636 
 11.50 %  2015                      5.00          103.30          11.0318 
 11.50 %  2015                      1.00          103.80          10.9636 
 11.50 %  2015                      1.00          103.80          10.9636 
 11.43 %  2015                      5.00          104.25          10.8411 
 11.43 %  2015                      5.00          104.39          10.8223 
 11.43 %  2015                     10.00          104.48          10.8103 
 11.43 %  2015                      5.00          104.44          10.8157 
 11.43 %  2015                      1.00          104.41          10.8197 
 11.43 %  2015                      5.00          104.41          10.8197 
 11.43 %  2015                     10.00          104.18          10.8504 
 11.43 %  2015                      5.00          104.40          10.8210 
 11.43 %  2015                     10.00          104.41          10.8197 
 11.43 %  2015                      0.50          104.40          10.8210 
 11.43 %  2015                      5.00          104.43          10.8170 
 11.43 %  2015                      5.00          104.42          10.8183 
 11.43 %  2015                      5.00          104.44          10.8157 
 11.43 %  2015                     10.00          104.40          10.8210 
 11.43 %  2015                      5.00          104.34          10.8290 
 11.43 %  2015                     10.00          104.20          10.8478 
 11.43 %  2015                      5.00          104.33          10.8304 
 11.43 %  2015                     10.00          104.38          10.8237 
 12.30 %  2016                      5.00          110.28          10.9072 
 12.30 %  2016                      5.00          110.19          10.9185 
 12.30 %  2016                      5.00          110.22          10.9147 
 12.30 %  2016                      5.00          110.23          10.9135 
 12.30 %  2016                     15.00          110.24          10.9122 
 12.30 %  2016                      5.00          110.26          10.9097 
 12.30 %  2016                      5.00          110.25          10.9110 
 10.70 %  2020                      0.50           97.60          10.9979 
 10.70 %  2020                      3.75           97.30          11.0366 
 10.70 %  2020                      2.00           98.75          10.8516 
          Contract Date : January 22, 2001 
 11.55 %  2001                     13.00          100.82           9.5903 
 10.85 %  2001                      5.00          100.555          9.7188 
 11.75 %  2001                     35.00          101.20           9.5789 
 11.75 %  2001                      5.00          101.12           9.7192 
